subject,phase,trial,click_idx,click_time_s,matched_tap_time_s,matched_tap_idx,asynchrony_s,rms_db,asynchrony_ms,missed_beat,accented,condition,meter,bpm,switch_time,low_confidence_trial
sub04,test,14,56,29.187520833333334,29.124604166666668,56.0,-0.06291666666666629,27.884276444006627,-62.91666666666629,False,0.0,spontaneous,3,116.0,0,True
sub04,test,15,0,0.2266875,0.1,0.0,-0.12668749999999998,-160.0,-126.68749999999999,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,1,0.8024583333333334,0.6996875,1.0,-0.10277083333333337,33.41574787507036,-102.77083333333337,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,2,1.379375,1.2964583333333333,2.0,-0.08291666666666675,51.14564336672535,-82.91666666666674,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,3,1.9562916666666668,1.8521666666666667,3.0,-0.10412500000000002,38.813535451685375,-104.12500000000003,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,4,2.5332083333333335,2.4736875,4.0,-0.05952083333333347,51.65065512260519,-59.52083333333347,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,5,3.110125,3.0377916666666667,5.0,-0.07233333333333336,36.38361251563773,-72.33333333333336,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,6,3.6870416666666666,3.675625,6.0,-0.011416666666666409,51.407648016112304,-11.416666666666409,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,7,4.263958333333333,4.237625,7.0,-0.026333333333332654,38.66995034751567,-26.333333333332654,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,8,4.840875,4.776625,8.0,-0.06424999999999947,51.446614058270505,-64.24999999999947,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,9,5.417791666666667,5.323833333333333,9.0,-0.09395833333333403,36.31561501314309,-93.95833333333402,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,10,5.9947083333333335,5.9635625,10.0,-0.031145833333333428,50.24996280296378,-31.145833333333428,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,11,6.571625,6.550020833333333,11.0,-0.02160416666666709,36.79654474204086,-21.60416666666709,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,12,7.148541666666667,7.109125,12.0,-0.03941666666666688,51.79557575655974,-39.41666666666688,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,13,7.725458333333333,7.678041666666667,13.0,-0.047416666666665996,29.024625967801644,-47.416666666665996,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,14,8.302375,8.258291666666667,14.0,-0.04408333333333303,52.461439475492085,-44.08333333333303,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,15,8.879291666666667,8.841958333333332,15.0,-0.03733333333333455,37.34945714077722,-37.33333333333455,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,16,9.456208333333333,9.411958333333333,16.0,-0.0442499999999999,52.766697325536704,-44.2499999999999,False,1.0,spontaneous,2,104.0,0,True
sub04,test,15,17,10.033125,9.9748125,17.0,-0.058312499999999545,27.70724710352386,-58.312499999999545,False,0.0,spontaneous,2,104.0,0,True
sub04,test,15,18,10.610041666666667,10.518979166666666,18.0,-0.09106250000000138,50.1260882918178,-91.06250000000138,False,1.0,spontaneous,2,104.0,0,True
